main_artist,no_rows,gender,genre,age,nationality,misc
post malone,200,m,rap,24,american,
billie eilish,153,f,pop,18,american,
ariana grande,124,f,pop,26,american,
khalid,109,m,r&b,21,american,
dababy,99,m,rap,28,american,
jonas brothers,85,m,pop,28.7,american,
lil baby,81,m,rap,25,american,
taylor swift,81,f,pop,30,american,
lil nas x,76,m,rap,20,american,
ed sheeran,74,m,pop,28,british,
marshmello,74,m,edm,27,american,
juice wrld,67,m,rap,21,american,
dan + shay,66,m,country,29,american,
sam smith,65,m,r&b,27,british,
halsey,64,f,pop,25,american,
luke combs,64,m,country,29,american,
cardi b,63,f,rap,27,american,latin
chris brown,57,m,r&b,30,american,
ynw melly,57,m,rap,20,american,
a boogie wit da hoodie,56,m,rap,24,american,
lizzo,54,f,pop,31,american,
panic! at the disco,54,m,rock,32,american,
young thug,54,m,rap,28,american,
mustard,53,m,rap,29,american,
travis scott,53,m,rap,27,american,
shawn mendes,50,m,pop,21,canadian,
summer walker,50,f,r&b,23,american,
meek mill,48,m,rap,32,american,
megan thee stallion,48,f,rap,24,american,
thomas rhett,41,m,country,29,american,
youngboy never broke again,41,m,rap,20,american,
the chainsmokers,40,m,edm,28.5,american,
anuel aa,39,m,reggaeton,27,puerto rican,
bad bunny,39,m,reggaeton,25,puerto rican,
lil tecca,39,m,rap,17,american,
benny blanco,37,m,pop,31,american,
dj khaled,37,m,pop,44,american,
ellie goulding,37,f,pop,33,british,
old dominion,36,m,country,43,american,
jason aldean,35,m,country,42,american,
lady gaga,35,f,pop,33,american,
nle choppa,35,m,rap,17,american,
maren morris,34,f,country,29,american,
5 seconds of summer,33,m,rock,17,australian,
city girls,33,f,rap,25,american,
drake,33,m,rap,33,canadian,
luke bryan,33,m,country,43,american,
maroon 5,33,m,pop,40,american,
ava max,32,f,pop,25,american,
lewis capaldi,32,m,r&b,23,scottish,
shaed,29,mixed,pop,29,american,
jon pardi,28,m,country,34,american,
j. cole,27,m,rap,34,american,
kane brown,27,m,country,26,american,
morgan wallen,27,m,country,26,american,
polo g,27,m,rap,20,american,
21 savage,26,m,rap,27,american,
florida georgia line,26,m,country,34,american,
offset,26,m,rap,28,american,
blake shelton,25,m,country,43,american,
daddy yankee,25,m,reggaeton,42,puerto rican,
kodak black,25,m,rap,22,american,
yk osiris,25,m,rap,21,american,
blueface,24,m,rap,22,american,
calboy,24,m,rap,20,american,
nf,24,m,rap,28,american,
kelsea ballerini,23,f,country,26,american,
carrie underwood,22,f,country,36,american,
dierks bentley,22,m,country,44,american,
lil uzi vert,22,m,rap,25,american,
tyler,22,m,rap,28,american,
ella mai,21,f,r&b,25,american,
p!nk,21,f,pop,40,american,
y2k,21,m,rap,25,american,
blanco brown,20,m,country,31,american,
chase rice,20,m,country,34,american,
chris lane,20,m,country,35,american,
future,20,m,rap,36,american,
kenny chesney,20,m,country,51,american,
lee brice,20,m,country,40,american,
matt stell,20,m,country,35,american,
nipsey hussle,20,m,rap,33,american,died
pedro capo,20,m,reggaeton,39,puetro rican,
saweetie,20,f,rap,26,american,
sech,20,m,r&b,26,panamanian,
yg,20,m,rap,29,american,
yo gotti,20,m,rap,38,american,
beyonce,19,f,pop,38,american,
brett young,19,m,country,38,american,
camila cabello,19,f,pop,22,american,latin
dean lewis,19,m,pop,32,australian,
kanye west,19,m,rap,42,american,
pinkfong,19,mixed,,,korean,
wale,19,m,rap,35,american,
eli young band,18,m,country,,american,
lauren daigle,18,f,pop,,american,
trippie redd,18,m,rap,20,american,
lady antebellum,17,mixed,country,,american,
lunay,17,m,reggaeton,19,puerto rican,
cody johnson,16,m,country,32,american,
justin moore,16,m,country,35,american,
scotty mccreery,16,m,country,26,american,
ali gatie,15,m,rap,22,canadian,
harry styles,15,m,pop,25,british,
keith urban,15,m,country,52,new zealand,
roddy ricch,15,m,rap,21,american,
russell dickerson,15,m,country,32,american,
blackbear,14,m,rap,29,american,
brantley gilbert + lindsay ell,14,mixed,country,34,american,
cole swindell,14,m,country,36,american,
dustin lynch,14,m,country,34,american,
jhay cortez,14,m,reggaeton,26,puerto rican,
katy perry,14,f,pop,35,american,
lil tjay,14,m,rap,18,american,
chris janson,13,m,country,33,american,
chris stapleton,13,m,country,41,american,
chris young,13,m,country,34,american,
dj snake,13,m,edm,33,french,
eric church,13,m,country,42,american,
j balvin,13,m,reggaeton,34,colombian,
ski mask the slump god,13,m,rap,23,american,
doja cat,12,f,rap,24,american,
jake owen,12,m,country,38,american,
joji,12,m,rap,27,japanese,
jordan davis,12,m,country,31,american,
selena gomez,12,f,pop,27,american,
tory lanez,12,m,rap,27,canadian,
xxxtentacion,12,m,rap,20,american,dead
bryce vine,11,m,rap,31,american,
gucci mane,11,m,rap,39,american,
imagine dragons,11,m,rock,32,american,
layton greene,11,f,r&b,21,american,
nav,11,m,rap,30,canadian,
tones and i,11,f,pop,19,australian,
brett eldredge,10,m,country,33,american,
bts,10,m,pop,25,korean,
chance the rapper,10,m,rap,26,american,
logic,10,m,rap,29,american,
mabel,10,m,pop,23,spanish,
niall horan,10,m,rock,26,irish,
normani,10,f,pop,23,american,
ozuna,10,m,reggaeton,27,puerto rican,
sam hunt,10,m,country,35,american,
alec benjamin + alessia cara,9,mixed,pop,25,american,
flipp dinero,9,m,rap,24,american,
french montana,9,m,rap,35,moroccan,
kehlani,9,f,r&b,24,american,
kygo,9,m,edm,28,norwegian,
lil peep,9,m,rap,21,american,dead
lukas graham,9,m,pop,31,danish,
michael ray,9,m,country,31,american,
miley cyrus,9,f,pop,27,american,
rod wave,9,m,rap,20,american,
sheck wes,9,m,rap,21,american,
bazzi,8,m,pop,22,american,
mark ronson,8,m,pop,44,british,
midland,8,m,country,40,american,
pardison fontaine,8,m,rap,29,american,
riley green,8,m,country,31,american,
sarah jeffery,8,f,pop,23,canadian,
andy williams,7,m,pop,34,american,happy holidays
arizona zervas,7,m,rap,24,american,
danileigh,7,f,r&b,25,american,latin
dua lipa,7,f,pop,24,british,
gunna,7,m,rap,26,american,
idina menzel,7,f,pop,48,american,
loud luxury,7,m,edm,29,canadian,
nicki minaj,7,f,rap,37,american,
the weeknd,7,m,r&b,29,canadian,
ant saunders,6,m,pop,19,american,yellow hearts - tik tok
dreamville,6,m,rap,36,american,
fletcher,6,f,pop,25,american,
gesaffelstein,6,m,edm,32,french,
jacquees,6,m,r&b,25,american,
lauv,6,m,pop,25,american,
lil dicky,6,m,rap,31,american,
lil wayne,6,m,rap,37,american,
mariah carey,6,f,r&b,50,american,
nicky jam,6,m,reggaeton,38,american,
yella beezy,6,m,rap,28,american,
zara larsson,6,f,pop,22,swedish,
avicii,5,m,edm,28,swedish,died
gene autry,5,m,country,40,american,xmas 
jhene aiko,5,f,r&b,31,american,
rich the kid,5,m,rap,27,american,
runaway june,5,f,country,29,american,
trevor daniel,5,m,rap,25,american,
2 chainz,4,m,rap,42,american,
big sean,4,m,rap,31,american,
blackpink,4,f,pop,24,korean,
bobby helms,4,m,country,,american,xmas
brenda lee,4,f,rock,,american,
burl ives,4,,,,american,
internet money,4,m,rap,27,american,
jimmie allen,4,m,country,33,american,
lil mosey,4,m,rap,17,american,
lil skies,4,m,rap,21,american,
the black eyed peas,4,mixed,pop,44,american,
wham!,4,m,pop,28,british,
ambjaay,3,,,,,
dean martin,3,,,,,
thomas wesley,3,,,,,
don toliver,3,,,,,
jose feliciano,3,,,,,
karol g,3,,,,,
lil pump,3,,,,,
nat king cole,3,,,,,
rick ross,3,,,,,
schoolboy q,3,,,,,
silk city,3,,,,,
the ronettes,3,,,,,
frank ocean,2,,,,,
joyner lucas,2,,,,,
lana del rey,2,,,,,
metro boomin,2,,,,,
miranda lambert,2,,,,,
moneybagg yo,2,,,,,
russ,2,,,,,
sza,2,,,,,
tainy,2,,,,,
24kgoldn,1,,,,,
6ix9ine,1,,,,,
a$ap rocky,1,,,,,
alicia keys,1,,,,,
aventura,1,,,,,
bebe rexha,1,,,,,
dove cameron,1,,,,,
eminem,1,,,,,
fat joe,1,,,,,
five finger death punch,1,,,,,
for king,1,,,,,
hikaru utada,1,,,,,
iggy azalea,1,,,,,
j-hope,1,,,,,
john mayer,1,,,,,
john rich,1,,,,,
kacey musgraves,1,,,,,
kevin gates,1,,,,,
kip moore,1,,,,,
lil' duval,1,,,,,
maluma,1,,,,,
martin garrix,1,,,,,
michael jackson,1,,,,,
partynextdoor,1,,,,,
perry como and the fontane sisters,1,,,,,
pnb rock,1,,,,,
schoolboy q + travis scott,1,,,,,
swae lee,1,,,,,
tool,1,,,,,
tyga,1,,,,,
zedd,1,,,,,